具	329		jù	tool	tool, implement; draw up, write	そなえる そなえ つぶさに	グ ク	[sound:agj-pinyin-ju4.mp3]	679
真	330		zhēn	true	real, actual, true, genuine	まこと まことに ま	シン	[sound:agj-pinyin-zhen1.mp3]	95
親	332	亲	qīn	relatives	relatives, parents; intimate	したしい おや みずから	シン	[sound:agj-pinyin-qin1.mp3]	623
新	334		xīn	new	new, recent, fresh, modern	あたらしい あらた にい	シン	[sound:agj-pinyin-xin1.mp3]	96
和	335		hé	harmony	harmony, peace; peaceful, calm	やわらぐ なごむ なごやか	ワ カ	[sound:agj-pinyin-he2.mp3]	97
因	336		yīn	cause	cause, reason; by; because (of)	よる ちなむ よって	イン	[sound:agj-pinyin-yin1.mp3]	98
果	337		guǒ	fruit	fruit; result	はたす くだもの はて	カ ラ	[sound:agj-pinyin-guo3.mp3]	99
意	338		yì	idea	thought, idea, opinion; think	こころ おもい おもう	イ	[sound:agj-pinyin-yi4.mp3]	100
定	339		dìng	settle on	decide, settle, fix	さだめる さだまる さだめ	テイ ジョウ	[sound:agj-pinyin-ding4.mp3]	101
炎	340		yán	inflammation	flame, blaze; hot	ほのお もえる	エン タン	[sound:agj-pinyin-yan2.mp3]	1813
黑	341		hēi	black	black; dark; evil, sinister	くろい くろ	コク	[sound:agj-pinyin-hei1.mp3]	522
點	342	点	diǎn	spot	dot, speck, spot; point, degree	ぼち	テン	[sound:agj-pinyin-dian3.mp3]	102
情	343		qíng	feelings	feeling, sentiment, emotion	なさけ こころ おもむき	ジョウ セイ	[sound:agj-pinyin-qing2.mp3]	103
竹	344		zhú	bamboo	bamboo; flute; KangXi radical 118	たけ	チク	[sound:agj-pinyin-zhu2.mp3]	382
其	345		qí	his-hers-its-theirs	his, her, its, their; that	その それ	キ ギ	[sound:agj-pinyin-qi2.mp3]	104
頁	346	页	yè	page	page, sheet, leaf; rad. no. 181	かしら ぺえじ	ケツ ヨウ ケチ	[sound:agj-pinyin-ye4.mp3]	1309
題	347	题	tí	topic	forehead; title, headline; theme	ひたい	ダイ	[sound:agj-pinyin-ti2.mp3]	105
事	349		shì	matter	affair, matter, business; to serve; accident, incident	こと つかう こととする	ジ シ	[sound:agj-pinyin-shi4.mp3]	106
鬥	350	斗	dòu	fight	struggle, fight, compete, contend	たたかう あらそう	トウ ツ カク	[sound:agj-pinyin-dou4.mp3]	1070
斗	351		dòu dǒu	big dipper	Chinese peck; liquid measure	とます ます ひしゃく	ト トウ	[sound:agj-pinyin-dou4.mp3]	1924
